	BaselineProp	PropMean.Adult	PropMean.Fetal	PropMean.Young	Fstatistic	P.Value	FDR
Erythroid	0.002271887698559291	-0.0	0.004433043607973849	-0.0	43.90965756279334	0.00011313549334223991	0.0009050839467379193
Immune cells	0.07630217953454008	0.18958782772606828	0.02754596267843456	0.10875123549292953	9.176961995150737	0.011186234726137374	0.044744938904549496
Cardiomyocytes	0.5494643516808275	0.27354658519808145	0.6824103809707409	0.42676144698815893	6.5547269241981105	0.025091367743013203	0.06691031398136854
Fibroblast	0.18210195788695974	0.29868932885644217	0.11134223311689957	0.26192406013671876	4.8220651927994735	0.04852620256132577	0.09705240512265154
Neurons	0.016143332101957886	0.01138083706761336	0.012643346474096425	0.026209768298310895	2.241707115056567	0.177224698432494	0.28355951749199043
Endothelial cells	0.10160694495751754	0.12453841826078935	0.10210820746970851	0.09247780943978733	0.9422732493443852	0.4343637907369136	0.5270675695111624
Epicardial cells	0.06416697451052826	0.09315770887526635	0.051414853127636544	0.07541027996257886	0.8667852115676826	0.4611841233222671	0.5270675695111624
Smooth muscle cells	0.007942371629109716	0.009099294015739195	0.008101972554509906	0.008465399681515861	0.08237328802236969	0.9218125428629489	0.9218125428629489
