clusters	baseline_props	mean_props_Female	mean_props_Male	p_values
B cells	0.09838283431074117	0.10000911268960186	0.0937471185657419	0.5144448676022844
Dendritic cells	0.017111802844514766	0.01478332761382587	0.01735548789389087	0.5012743413621961
Monocytes	0.17141612350307553	0.16884267373453468	0.1718648031431461	0.5295360553565887
NK cells	0.14647932538795352	0.11693889750714281	0.1759394619417835	0.02865592452933088
T cells	0.566609913953715	0.5981814237819919	0.5361408097570894	0.051923148126151245
