	baseline_props	mean_props_Fetal	mean_props_Young	mean_props_Adult	p_values
Cardiomyocytes	0.5494643516808275	0.6927901606091913	0.4551830901315851	0.2908382508776244	3.4895801803713766e-09
Endothelial cells	0.10160694495751754	0.10038428646508311	0.08295138716325522	0.12983216167421194	0.20862896110261897
Epicardial cells	0.06416697451052826	0.04693618448197824	0.06437593187051552	0.09789768597613688	0.0937866412631528
Erythroid	0.002271887698559291	0.0033528997003330584	0.0	0.0	0.011486018435813133
Fibroblast	0.18210195788695974	0.09826353084495394	0.235792629487442	0.28961435613622494	0.00027767963545436797
Immune cells	0.07630217953454008	0.0232093819162007	0.10447717641227433	0.1522318762590097	1.1911058313884837e-05
Neurons	0.016143332101957886	0.01065947168768401	0.022012697196988715	0.009809750639167912	0.31491318073222957
Smooth muscle cells	0.007942371629109716	0.006050235243081084	0.006347793578964183	0.008040876289424233	0.6242946069728403
