Sex	baseline_props	mean_props_female	mean_props_male	p_values
BC	0.09838283431074117	0.09974244704854991	0.09870644681373021	0.5322805437801073
DC	0.017111802844514766	0.014771435467431898	0.01718224900598189	0.28741578685398184
MC	0.17141612350307553	0.16848750793084732	0.16938904408171493	0.5344509741958036
NK	0.14647932538795352	0.1165028615708915	0.17612792380466402	0.0038164585911459343
TC	0.566609913953715	0.600495747982279	0.5385943362939088	0.04118040880073161
