clusters	baseline_props	mean_props_Female	mean_props_Male	p_values
B cells	0.09838283431074117	0.10000911268960186	0.0937471185657419	0.48106814836860046
Dendritic cells	0.017111802844514766	0.01478332761382587	0.01735548789389087	0.3910605316542338
Monocytes	0.17141612350307553	0.16884267373453468	0.1718648031431461	0.4941882712009206
NK cells	0.14647932538795352	0.11693889750714281	0.1759394619417835	0.0708765483292394
T cells	0.566609913953715	0.5981814237819919	0.5361408097570894	0.10480427538969173
