	scanpro	scanpro_norep
logit_4_reps	92.0	31.0
arcsin_4_reps	92.0	28.000000000000004
logit_8_reps	94.0	93.0
arcsin_8_reps	95.0	98.0
logit_10_reps	98.0	100.0
arcsin_10_reps	96.0	100.0
logit_20_reps	97.0	100.0
arcsin_20_reps	96.0	100.0
