Condition	baseline_props	mean_props_adult	mean_props_fetal	mean_props_young	p_values
Cardiomyocytes	0.5494643516808275	0.2975783073630772	0.6906529306494641	0.45936739613839794	9.443157367172716e-10
Endothelial cells	0.10160694495751754	0.13102043665636182	0.09798880218248451	0.08909686739878614	0.10578700025353238
Epicardial cells	0.06416697451052826	0.09924660767665815	0.0521081566361841	0.0662932211430699	0.014560664920568622
Erythroid	0.002271887698559291	0.0	0.003869203752772652	0.0	0.20698020079112528
Fibroblast	0.18210195788695974	0.29439259255668254	0.1083714511656785	0.2441617733199752	2.1467561831893062e-07
Immune cells	0.07630217953454008	0.1555735831136474	0.025979295287998104	0.1076225150834712	1.1384967043189438e-12
Neurons	0.016143332101957886	0.012635647200383173	0.013019659621663446	0.024348915987145506	0.13337878596551336
Smooth muscle cells	0.007942371629109716	0.009552825433189699	0.008010500703754845	0.009109310929153848	0.3727811048657851
