	BaselineProp.clusters	BaselineProp.Freq	PropMean.Female	PropMean.Male	PropRatio	Tstatistic	P.Value	FDR
NK cells	NK cells	0.14647932538795352	0.11691359702032438	0.17468436642446042	0.6692848330584974	-2.356286323880624	0.02860515637388501	0.14302578186942505
T cells	T cells	0.566609913953715	0.5976358653045782	0.5398962425260508	1.106945776300233	1.5470336769154398	0.13729885879871348	0.3432471469967837
Dendritic cells	Dendritic cells	0.017111802844514766	0.015587182808375915	0.018792829376400474	0.8294218234083408	-1.1078368602705895	0.2808822854800721	0.46813714246678684
B cells	B cells	0.09838283431074117	0.10104230292170312	0.09558100904238251	1.0571378554593305	0.3909305134949466	0.6999199368627986	0.8748999210784982
Monocytes	Monocytes	0.17141612350307553	0.16882105194501826	0.17104555263070556	0.9869946885407183	-0.08964920508168589	0.9294443186478049	0.9294443186478049
